county,timestamp,temperature_f,wind_speed,wind_direction,relative_humidity,conditions,drought_level,active_fires_nearby,statewide_active_fires,fire_danger_level,risk_score
Imperial,2025-11-08 20:14:40,86.0,0 to 5 mph,NNW,18,Clear,None,0,0,High,6
Napa,2025-11-08 20:14:40,66.2,12 mph,WSW,68,Clear,None,0,0,Moderate,3
Del Norte,2025-11-08 20:14:40,62.6,25 mph,S,68,Clear,None,0,0,Elevated,4
San Bernardino,2025-11-08 20:14:40,86.0,0 to 10 mph,N,N/A,,None,0,0,Elevated,5
San Luis Obispo,2025-11-08 20:14:40,80.6,25 mph,NW,39,Clear,None,0,0,High,6
Colusa,2025-11-08 20:14:40,69.998,25 mph,NNE,45,,None,0,0,Elevated,5
San Benito,2025-11-08 20:14:40,73.0,11 mph,SE,N/A,,None,0,0,Elevated,4
Alameda,2025-11-08 20:14:40,73.4,37 mph,E,N/A,Clear,None,0,0,High,7
Riverside,2025-11-08 20:14:40,86.0,12 mph,NW,24,Clear,None,0,0,High,6
Kern,2025-11-08 20:14:40,76.0,5 mph,NW,N/A,Sunny,None,0,0,Elevated,5
Yuba,2025-11-08 20:14:40,69.008,7 mph,WSW,42,,None,0,0,Moderate,3
Calaveras,2025-11-08 20:14:40,71.006,18 mph,SW,43,,None,0,0,Elevated,4
Tulare,2025-11-08 20:14:40,69.998,11 mph,SW,53,,None,0,0,Moderate,3
Los Angeles,2025-11-08 20:14:40,76.334,4 mph,SSW,54,,None,0,0,Moderate,3
Solano,2025-11-08 20:14:40,67.82,17 mph,NNW,51,,None,0,0,Moderate,3
Mendocino,2025-11-08 20:14:40,62.995999999999995,4 mph,SE,63,,None,0,0,Moderate,2
Siskiyou,2025-11-08 20:14:40,51.8,12 mph,SSW,62,Clear,None,0,0,Moderate,2
Santa Cruz,2025-11-08 20:14:40,68.0,2 to 10 mph,N,75,,None,0,0,Moderate,3
Contra Costa,2025-11-08 20:14:40,62.924,22 mph,NNE,26,,None,0,0,High,6
Shasta,2025-11-08 20:14:40,66.992,4 mph,SW,49,,None,0,0,Moderate,3
Tuolumne,2025-11-08 20:14:40,69.008,29 mph,SE,37,,None,0,0,Elevated,5
Madera,2025-11-08 20:14:40,67.04599999999999,16 mph,S,65,,None,0,0,Moderate,3
Fresno,2025-11-08 20:14:40,69.8,0 to 5 mph,W,60,Clear,None,0,0,Moderate,2
Sacramento,2025-11-08 20:14:40,66.2,17 mph,NW,64,Clear,None,0,0,Moderate,3
Lake,2025-11-08 20:14:40,68.0,11 mph,E,N/A,,None,0,0,Elevated,4
Modoc,2025-11-08 20:14:40,55.4,3 mph,E,47,Clear,None,0,0,Moderate,2
San Mateo,2025-11-08 20:14:40,60.8,5 to 9 mph,N,88,Mostly Clear,None,0,0,Moderate,2
San Diego,2025-11-08 20:14:40,60.8,21 mph,SSW,88,Fog/Mist,None,0,0,Elevated,4
Trinity,2025-11-08 20:14:40,61.0,3 mph,E,N/A,Mostly Sunny,None,0,0,Elevated,4
Mariposa,2025-11-08 20:14:40,69.998,11 mph,SSE,59,,None,0,0,Moderate,3
Merced,2025-11-08 20:14:40,57.2,17 mph,ESE,100,Fog/Mist,None,0,0,Moderate,2
