county,timestamp,temperature_f,wind_speed,wind_direction,relative_humidity,conditions,high_temp_risk,low_humidity_risk,high_wind_risk,fire_danger_level
Los Angeles,2025-11-07 12:47:58,80,0 to 5 mph,SW,N/A,Sunny,No,No,No,Low
San Diego,2025-11-07 12:47:58,73,5 mph,SW,N/A,Mostly Sunny,No,No,No,Low
Orange,2025-11-07 12:47:59,80,5 mph,SW,N/A,Sunny,No,No,No,Low
Riverside,2025-11-07 12:47:59,85,0 to 10 mph,W,N/A,Sunny,Yes,No,No,Moderate
San Bernardino,2025-11-07 12:48:00,87,0 to 5 mph,NW,N/A,Sunny,Yes,No,No,Moderate
Alameda,2025-11-07 12:48:01,68,10 mph,WNW,N/A,Sunny,No,No,No,Low
Sacramento,2025-11-07 12:48:01,71,2 to 6 mph,W,N/A,Patchy Fog then Mostly Sunny,No,No,No,Low
Fresno,2025-11-07 12:48:12,70,5 mph,NW,N/A,Sunny,No,No,No,Low
Kern,2025-11-07 12:48:13,70,0 to 5 mph,WNW,N/A,Sunny,No,No,No,Low
San Francisco,2025-11-07 12:48:13,68,10 to 16 mph,W,N/A,Sunny,No,No,No,Low
Ventura,2025-11-07 12:48:14,80,5 mph,WSW,N/A,Sunny,No,No,No,Low
San Mateo,2025-11-07 12:48:15,71,7 to 13 mph,NW,N/A,Sunny,No,No,No,Low
Santa Clara,2025-11-07 12:48:16,72,10 mph,NNW,N/A,Sunny,No,No,No,Low
Sonoma,2025-11-07 12:48:17,72,7 to 10 mph,WNW,N/A,Sunny,No,No,No,Low
Placer,2025-11-07 12:48:19,68,2 mph,W,N/A,Sunny,No,No,No,Low
Monterey,2025-11-07 12:48:20,63,10 mph,NW,N/A,Sunny,No,No,No,Low
Santa Barbara,2025-11-07 12:48:20,80,5 to 10 mph,SSE,N/A,Sunny,No,No,No,Low
San Joaquin,2025-11-07 12:48:21,73,6 mph,NW,N/A,Sunny,No,No,No,Low
Stanislaus,2025-11-07 12:48:22,74,10 mph,NNW,N/A,Sunny,No,No,No,Low
